Time,Source,Destination,Protocol,Status
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,20.42.72.131,10.78.150.79,6,✅ Normal
14:31:46,20.42.72.131,10.78.150.79,6,✅ Normal
14:31:46,20.42.72.131,10.78.150.79,6,✅ Normal
14:31:46,20.42.72.131,10.78.150.79,6,✅ Normal
14:31:46,20.42.72.131,10.78.150.79,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,10.78.150.79,20.42.72.131,6,✅ Normal
14:31:46,20.42.72.131,10.78.150.79,6,✅ Normal
14:31:46,20.42.72.131,10.78.150.79,6,✅ Normal
14:31:48,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:48,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:48,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:48,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:48,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:48,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:48,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:48,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:48,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:49,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:49,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:49,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:49,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:49,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:49,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:49,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:49,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:49,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:49,57.155.141.119,10.78.150.79,6,✅ Normal
14:31:49,10.78.150.79,57.155.141.119,6,✅ Normal
14:31:54,10.78.150.79,20.50.73.10,6,✅ Normal
14:31:54,10.78.150.79,20.50.73.10,6,✅ Normal
14:31:54,10.78.150.79,20.50.73.10,6,✅ Normal
14:31:55,20.50.73.10,10.78.150.79,6,✅ Normal
14:31:55,20.50.73.10,10.78.150.79,6,✅ Normal
14:31:55,20.50.73.10,10.78.150.79,6,✅ Normal
14:31:55,10.78.150.79,20.50.73.10,6,✅ Normal
14:31:55,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:09,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:09,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:09,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:09,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:09,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:09,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:09,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:09,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:10,20.50.73.10,10.78.150.79,6,✅ Normal
14:32:10,10.78.150.79,20.50.73.10,6,✅ Normal
14:32:10,20.50.73.10,10.78.150.79,6,✅ Normal
